name,brand,category,color,price,originalPrice,sourceUrl,sourceImageUrl
Crocs Draft Slide 01,CROCS,slides,Đen,1199000,,,https://commons.wikimedia.org/wiki/Special:Redirect/file/Crocs_sandals.jpg
Crocs Draft Slide 02,CROCS,slides,Be,1299000,,,https://commons.wikimedia.org/wiki/Special:Redirect/file/Imitation_Crocs_Sandals.jpg
Crocs Draft Flip 01,CROCS,flip-flops,Xanh Lá,999000,,,https://commons.wikimedia.org/wiki/Special:Redirect/file/Crocs_Sandalias.jpg
Crocs Draft Flip 02,CROCS,flip-flops,Tím,1099000,,,https://commons.wikimedia.org/wiki/Special:Redirect/file/Crocs_Sandalias_2.jpg
Crocs Draft Clog 06,CROCS,clogs,Vàng,1799000,,,https://commons.wikimedia.org/wiki/Special:Redirect/file/HK_Fashion_Plastic_Clogs_n_Shoes_n_Colourful_Crocs_Footwear.JPG
Puma Draft Run 01,PUMA,running-shoes,Đen,2499000,,,https://commons.wikimedia.org/wiki/Special:Redirect/file/Puma_Jago_Zig_Zag_Running_Shoe.jpg
Puma Draft Run 02,PUMA,running-shoes,Trắng,2799000,,,https://commons.wikimedia.org/wiki/Special:Redirect/file/Pumashoes.jpg
Puma Draft Run 03,PUMA,running-shoes,Xanh Dương,3699000,,,https://commons.wikimedia.org/wiki/Special:Redirect/file/Puma_association_football_shoes.jpg
Puma Draft Sneaker 01,PUMA,sneakers,Trắng,2399000,,,https://commons.wikimedia.org/wiki/Special:Redirect/file/Puma_Smash_Leather.jpg
Puma Draft Sneaker 02,PUMA,sneakers,Xám,2199000,,,https://commons.wikimedia.org/wiki/Special:Redirect/file/Speedcat_OG_Sneakers_PUMA.jpg
Puma Draft Slide 01,PUMA,slides,Đen,899000,,,https://commons.wikimedia.org/wiki/Special:Redirect/file/Puma_Shoes.JPG
Puma Draft Slide 02,PUMA,slides,Đỏ,999000,,,https://commons.wikimedia.org/wiki/Special:Redirect/file/Puma_pink.gif
Puma Draft Flip 01,PUMA,flip-flops,Xanh Navy,799000,,,https://commons.wikimedia.org/wiki/Special:Redirect/file/Puma_schuhe.jpg
Puma Draft Clog 01,PUMA,clogs,Be,1499000,,,https://commons.wikimedia.org/wiki/Special:Redirect/file/Puma_Clyde.jpg
Puma Draft Sneaker 03,PUMA,sneakers,Vàng,2599000,,,https://commons.wikimedia.org/wiki/Special:Redirect/file/Puma_Suede.jpg
